id,session_date,duration_min,avg_power,normalized_power,tss_voor,if_voor,tss_na,if_na,delta_tss
200,2025-10-04,27,188,187,9,0.456,21,0.688,12
199,2025-10-06,52,151,163,14,0.398,31,0.599,17
198,2025-10-08,50,153,172,15,0.42,33,0.632,18
197,2025-10-13,67,215,218,32,0.532,72,0.801,40
196,2025-10-15,75,202,213,34,0.52,77,0.783,43
195,2025-10-16,70,149,199,27,0.485,62,0.732,35
194,2025-10-18,27,295,,23,0.72,53,1.085,30
193,2025-10-20,65,332,,71,0.81,161,1.221,90
192,2025-10-21,83,294,,71,0.717,162,1.081,91
191,2025-10-26,33,215,221,16,0.539,36,0.813,20
190,2025-10-27,73,212,218,31,0.532,71,0.801,40
189,2025-11-01,89,226,236,44,0.576,99,0.868,55
188,2025-11-02,49,225,226,21,0.551,46,0.831,25
187,2025-11-04,68,196,205,29,0.5,56,0.754,27
186,2025-11-06,74,205,213,33,0.52,69,0.783,36
185,2025-11-08,83,216,226,35,0.551,83,0.831,48
184,2025-11-10,54,193,203,20,0.495,39,0.746,19
183,2025-11-12,68,207,215,31,0.524,66,0.79,35
182,2025-11-15,91,218,226,41,0.551,95,0.831,54
181,2025-11-17,75,223,230,35,0.561,81,0.846,46
180,2025-11-19,110,212,219,55,0.534,131,0.804,76
179,2025-11-22,88,198,209,36,0.51,80,0.768,44
178,2025-11-24,52,187,196,18,0.478,36,0.721,18
177,2025-11-26,77,203,211,32,0.515,66,0.776,34
176,2025-11-29,103,209,218,51,0.532,120,0.801,69
175,2025-12-01,61,195,201,24,0.49,47,0.74,23
174,2025-12-03,78,211,220,34,0.537,80,0.809,46
173,2025-12-06,92,219,227,43,0.554,102,0.835,59
172,2025-12-08,55,197,204,21,0.498,40,0.75,19
171,2025-12-10,69,208,216,32,0.527,67,0.794,35
170,2025-12-13,95,221,229,46,0.559,109,0.843,63
169,2025-12-15,62,193,202,24,0.493,47,0.743,23
168,2025-12-17,76,205,213,32,0.52,66,0.783,34
167,2025-12-20,108,214,222,56,0.541,132,0.816,76
166,2025-12-22,57,189,198,19,0.483,38,0.728,19
165,2025-12-24,81,208,217,33,0.529,71,0.797,38
164,2025-12-27,98,216,224,48,0.546,115,0.824,67
163,2025-12-29,65,194,203,25,0.495,49,0.746,24
162,2025-12-31,79,207,215,31,0.524,68,0.79,37
161,2026-01-03,104,213,221,53,0.539,127,0.813,74
160,2026-01-05,58,191,199,20,0.485,39,0.732,19
159,2026-01-07,72,206,214,31,0.522,68,0.787,37
158,2026-01-10,97,219,227,46,0.554,110,0.835,64
157,2026-01-12,63,195,203,25,0.495,48,0.746,23
156,2026-01-14,78,209,217,33,0.529,70,0.797,37
155,2026-01-17,106,217,225,55,0.549,133,0.826,78
154,2026-01-19,60,190,199,21,0.485,40,0.732,19
153,2026-01-21,75,207,215,32,0.524,68,0.79,36
152,2026-01-24,102,218,226,52,0.551,127,0.831,75
151,2026-01-26,62,194,202,24,0.493,47,0.743,23
150,2026-01-28,80,210,218,34,0.532,76,0.801,42
149,2026-01-31,110,220,228,58,0.556,138,0.838,80
148,2026-02-02,59,192,200,20,0.488,39,0.735,19
147,2026-02-04,74,207,215,31,0.524,67,0.79,36
146,2026-02-07,100,219,227,50,0.554,120,0.835,70
145,2026-02-09,65,196,204,26,0.498,50,0.75,24
144,2026-02-11,83,213,221,36,0.539,85,0.813,49
143,2026-02-14,112,222,230,61,0.561,146,0.846,85
142,2026-02-16,61,193,201,24,0.49,47,0.74,23
141,2026-02-18,77,208,216,33,0.527,70,0.794,37
140,2026-02-21,105,220,228,58,0.556,139,0.838,81
139,2026-02-23,62,195,203,25,0.495,48,0.746,23
138,2026-02-25,79,209,217,33,0.529,70,0.797,37
137,2026-02-28,108,221,229,57,0.559,137,0.843,80
