id,module,screen_or_endpoint,data_type,classification,source_file_or_table,user_binding,missing_data_behavior,error_behavior,risk,proposed_action,apply_allowed
F01,Vandaag,home-sections.tsx (aanhef),voornaam-fallback "Atleet",FALLBACK,artifacts/sparki/src/components/sparki/home-sections.tsx,clerkId via /api/auth/me,neutraal label "Atleet" (geen dataclaim),sectie leeg bij queryfout,laag,behouden — neutraal label,false
F02,Training,coach-input-actions.tsx (FTP-invoer),invoerplaceholder "bijv. 250",VERIFIED_SYSTEM_REFERENCE_DATA,artifacts/sparki/src/components/sparki/coach-input-actions.tsx,geen (instructietekst),n.v.t.,n.v.t.,laag,behouden — wordt nooit als waarde opgeslagen,false
F03,Ritten,share-ride.tsx,rittitel-fallback "Rit",FALLBACK,artifacts/sparki/src/components/sparki/share-ride.tsx,sessie van clerkId,titel "Rit",Strava-fout wordt letterlijk getoond,laag,behouden,false
F04,Sparki World,wereld.tsx + /api/world/feed,virtuele renners (namen/FTP),DEMO,virtual_athletes e.a. + routes/sparki-world.ts (fictional:true),aparte tabellen; geen koppeling aan echte gebruiker,eerlijke lege feed,eerlijke fout,laag,behouden — transparant fictief productonderdeel; NOOIT automatisch verwijderen,false
F05,Lab/belasting,performance-numbers.tsx,CTL/ATL/TSB/FTP/gewicht/records,VERIFIED_REAL_USER_DATA,computeLoadSeries + clerk-gebonden endpoints,clerkId,"— + uitleg (""FTP en gewicht zijn nog niet bekend"")",foutmelding,geen,geen actie,false
F06,Vandaag,general-day-home.tsx (weer),weersverwachting,VERIFIED_SYSTEM_REFERENCE_DATA,Open-Meteo via api-server,thuislocatie van clerkId,"expliciet ""Sparki laat hier geen schatting zien""",lege lijst → geen weer,geen,geen actie,false
F07,Samen/vrienden,friend-requests,vriendverzoeken,VERIFIED_REAL_USER_DATA,friend_links,clerkId (requester/addressee),niets renderen,foutmelding,geen,geen actie,false
M01,Mobiel live delen,lib/live-share-api.ts,naamfallback "Sparki-vriend",FALLBACK,artifacts/sparki-mobile/lib/live-share-api.ts,vriend-grant via clerkId,label bij ontbrekende naam van echte vriend,eerlijke fout,laag,behouden — geen persoonsdata-claim,false
M02,Mobiel rit opnemen,app/(app)/record.tsx,ritnaam "Ochtendrit/Middagrit",FALLBACK,artifacts/sparki-mobile/app/(app)/record.tsx,eigen rit (lokaal + clerkId bij sync),tijdslabel als naam,n.v.t.,laag,behouden,false
M03,Mobiel navigatie,app/(app)/navigate/[id].tsx,vriendnaam "Onbekend"; wattage "—",FALLBACK,artifacts/sparki-mobile/app/(app)/navigate/[id].tsx,clerkId-grant,"""Onbekend""/""—""",eerlijke fout,laag,behouden,false
