finding_id,bron,pakket_fase,bron_sha,huidig_codebewijs,al_hersteld,bestaande_herstelopdracht,prioriteit,geraakte_module,benodigde_test,benodigde_hertoets,productie_status
F-P0-01,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 B.1,SPARKI_BUILD_01 F1,fcaf35ac,"consent_grants-tabel + centrale service (migratie 0017); dekking per schrijfpad nog niet integraal geverifieerd",deels,SPARKI_BUILD_01 F1 (MIRROR_PROVEN gemeld 01-08),P0,consent/jeugd,"test:coach-parent-* suites + gerichte consent-service-audit",ja,0017 staat op prod (geverifieerd 01-08)
F-P0-02,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 B.2,SPARKI_BUILD_01 F2,fcaf35ac,"ended_at op coach/parent-links (prod geverifieerd); test-links-end-isolation 3/3 en cross-account 19/19 groen 01-08",deels,SPARKI_BUILD_01 F2 (MIRROR_PROVEN op 2cf546be),P0,relatiehistorie,"e2e beëindigde ouderrelatie (taak #547)",ja,code wacht op nieuwe publish
F-P0-03,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 B.3,MULTI_ROLE_CONTEXT_UX_01,fcaf35ac,"rol-start.tsx bestaat; rolbezit-gate en geen-toegang-toestand nog te verifiëren",onbekend,geen,P0,rol-URL,"unit + e2e /rol-start/<rol> zonder rolbezit",ja,onbekend
F-P0-04,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 B.4,DATA_TRUST_01,fcaf35ac,"cross-account-isolation 19/19 groen 01-08; volledige testmatrix-afronding niet aangetoond",deels,DATA_TRUST_01 (BREDE VRIJGAVE),P0,data-trust,volledige DATA_TRUST-testmatrix,ja,n.v.t.
F-P0-05,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 B.5,ABONNEMENT_01,fcaf35ac,"entitlement-laag bestaat (AND met flags, fail-closed carve-out legacy_unrestricted); volledige matrixtest per tier niet aangetoond",deels,ABONNEMENT_01 (BREDE VRIJGAVE),P0,entitlements,volledige entitlementmatrix-test alle 12 rollen/tiers,ja,n.v.t.
F-P0-06,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 B.6,migratie 0017,2cf546be,"prod geverifieerd 01-08: consent_grants + ended_at-kolommen aanwezig; idempotent (IF NOT EXISTS) met rollbackpad in bestand",ja,geen,P0,database,leescontrole prod (gedaan),nee,TOEGEPAST OP PROD
F-P1-01,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 C.1,rolstartschermen,fcaf35ac,onbekende/lege rolparam-afhandeling niet getest,onbekend,geen,P1,rol-start,unit + e2e onbekende rolnaam/null-params,ja,onbekend
F-P1-02,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 C.2,MOBILE_ROUTE_WALKING_01 F1,fcaf35ac,"mobiele wizard standaard sinds cd214832 (geen flag); e2e 62 checks op 375/412/desktop groen",ja,geen,P1,routeplanner mobiel,e2e routeplanner-mobiel-v2 (groen),hertoetsbaar,WACHT OP NIEUWE PUBLISH (prod draait oude build)
F-P1-03,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 C.3,MOBILE_ROUTE_WALKING_01 F2-F6,fcaf35ac,"routefamilies via register; voetregels + footOnly-meting; sportkolom; e2e wandelen-hiken 17/17; fietsregressie groen",grotendeels,geen,P1,wandelen/hiken,"nav op wandeltempo nog niet gevalideerd (eerlijk open)",ja,WACHT OP NIEUWE PUBLISH + migratie 0018 via publish-flow
F-P1-04,SPARKI_AUDIT_RECOVERY_AND_COMPLETION_01 C.4,routegeneratie-jobs,fcaf35ac,"jobmodel start+poll met sweep-timer en idempotente finish bestaat; timeout/no-candidate-paden te herbevestigen",deels,geen,P1,routegeneratie,gerichte jobfout-scenario's (timeout/no-candidate/blokkade),ja,n.v.t.
