scherm,classificatie,bewijs
Vandaag,MOBILE_NATIVE,"commercial-shell.tsx L159-275: DsMobileNav, verticale stapeling, geen overflow"
Trainen,MOBILE_NATIVE,"core-plan.tsx L75-207 in CommercialShell; kalender = mobiele maandweergave"
Activiteiten,MOBILE_NATIVE,"core-activiteiten.tsx via commercial_shell (App.tsx L478), lijstweergave"
Analyse,RESPONSIVE_MAAR_DESKTOP,"core-analyse.tsx L1260-1295: brede 4-koloms tabel in overflow-x-auto; desktop-grafieken alleen scrollbaar gemaakt"
Meer,MOBILE_NATIVE,"core-meer.tsx L87-142: verticale lijst, tikdoelen min-h-11"
Ontdekken,MOBILE_NATIVE,"feed.tsx L396: verticale stream, NewsReader als sheet, filters wrappen"
Jij,MOBILE_NATIVE,"you.tsx L467: HoofdstukTabs + gestapelde cards, instellingen-sheets"
Routeplanner,RESPONSIVE_MAAR_DESKTOP,"route-panel.tsx (~4900 r): één flow, flex-wrap/stacking maar alles-op-één-paneel, whitespace-nowrap overflow-risico's L3780-3914; geen mobiele wizard-compositie"
Rijden/Navigatie,MOBILE_NATIVE,"nav-live is mobiel-eerst ontworpen (HUD, overlays krimpen kaart, per-episode off-route); route-match.ts web+mobiel gespiegeld"
Club,MOBILE_NATIVE,"club.tsx: ScreenShell, één kolom, compacte kaarten"
Team,NIET_AANGESLOTEN,"teams bestaan binnen club.tsx/club-beheer.tsx (seizoenen&teams) zonder eigen scherm"
Trainer(cockpit),MOBILE_NATIVE,"coach-cockpit.tsx: ScreenShell, signaalkaarten, mobiele acties"
Hoofdtrainer,MOBILE_NATIVE,"club.tsx L303+: hoofdOverview binnen mobiele Club-shell"
Ploegleider,GEDEELTELIJK,"rol bestaat (club-beheer.tsx) zonder eigen scherm; generieke club-weergave"
Mechanieker,MOBILE_NATIVE,"mechanieker.tsx: Bike3DWerkblad + MaterialCoach in ScreenShell"
Soigneur,NIET_GEBOUWD,"rol gedefinieerd in club-beheer.tsx; geen soigneur.tsx of eigen UI"
Medical Staff,GEDEELTELIJK,"specialismen in club-beheer.tsx L74+ zonder eigen werkruimte"
Ouder,MOBILE_NATIVE,"parent-kinderen.tsx: kind-kiezer + toestemmingsbeheer, eigen 5-tab nav"
Clubbeheer,MOBILE_NATIVE,"club-beheer.tsx: mobiele UI-componenten ondanks complexiteit (veel secties — F9 BUILD_01 herindeelt)"
Documenten,GEDEELTELIJK,"knowledge.tsx L309+ Bibliotheek = kennisbank (mobiel); club-/bestandsbibliotheek bestaat niet"
Facturatie,NIET_GEBOUWD,"geen trainerfacturatie; alleen TeamSubscriptionSection → Stripe in club-beheer.tsx"
