id,provider,functie,platform,endpoint,account_tier,commercieel_gebruik,attributie_verplicht,attributie_aanwezig,caching_offline,rate_limits,privacy_risico,fallback,schaalrisico,actie_vereist,officiele_bron
PR01,Mapbox,Kaarttegels mobiele app (dark-v11 raster 512@2x),mobiel,api.mapbox.com/styles/v1/mapbox/dark-v11/tiles,ONBEKEND — plan/budget controleren in Mapbox-account,toegestaan binnen ToS en accountplan,ja — Mapbox-logo op kaart + tekst © Mapbox © OpenStreetMap + Improve this map,NEE — volledig afwezig op mobiel (releaseblokkade RB-2),alleen toevallige OS-cache; bewust prefetchen telt in facturering,per tegelverzoek gefactureerd; quota plan-afhankelijk,tegelposities + publiek token naar Mapbox,zonder token eerlijke melding (hasMapbox=false),kosten per tegel bij continue navigatie,attributie bouwen (aparte opdracht) + accountcheck,https://docs.mapbox.com/help/dive-deeper/attribution/
PR02,OpenRouteService,Alle routegeometrie/turn-by-turn/hoogte/geocoding,server (web+mobiel),api.openrouteservice.org /v2/directions /geocode,ONBEKEND — tier+quota alleen in ORS-dashboard zichtbaar (releaseblokkade RB-3),freemium; plan-voorwaarden controleren,OSM-data (ODbL) — gedekt door kaartattributie; plan-voorwaarden nagaan,deels (via kaartattributie),geen caching van directions-antwoorden,officieel: fiets max 6000 km; round-trip/alternatieven max 100 km; 50 waypoints; hoogte 2000 punten; dagquota plan-afhankelijk,route-start/eindpunten naar HeiGIT (DE),eerlijke NL-melding bij 429/uitval; geen retry,grootste afhankelijkheid — best-of-N vermenigvuldigt calls,accountcheck tier/quota; besluit betaald plan of eigen backend,https://openrouteservice.org/restrictions/
PR03,CARTO basemaps,Standaard webkaart (Voyager+Dark Matter),web,basemaps.cartocdn.com,GEEN account aantoonbaar,NIET toegestaan zonder Enterprise-licentie (officiële FAQ) — releaseblokkade RB-1,ja — © OpenStreetMap © CARTO,JA — op alle 5 webkaartcomponenten,geen (browsercache),niet gepubliceerd; dienst kan blokkeren,tegelposities vanuit browser naar CARTO-CDN,geen automatische fallback; handmatige laagkeuze in navigator,juridisch grootste onzekerheid web,beslissing: Enterprise-contract of andere tegelbron,https://docs.carto.com/faqs/carto-basemaps
PR04,OSM-standaardtegels,Handmatige weblaag OpenStreetMap in navigator,web,tile.openstreetmap.org,N.V.T. — publieke donatie-server zonder SLA,zwaar/grootschalig commercieel gebruik niet toegestaan,ja — © OpenStreetMap + geldige User-Agent/Referer + cache-headers respecteren,JA (tekst); User-Agent/Referer-naleving NIET geverifieerd,verplicht cache-headers respecteren; bulk-download verboden,geen hard getal; blokkade zonder aankondiging mogelijk,tegelposities vanuit browser naar OSMF,geen,beperkt (niet-standaard laag),beslissing: laag houden (licht gebruik) of schrappen bij schaal,https://operations.osmfoundation.org/policies/tiles/
PR05,CyclOSM,Fietskaartlaag in navigator,web,tile-cyclosm.openstreetmap.fr,N.V.T. — vrijwilligersserver OSM-France fair-use,niet bedoeld voor commercieel productiegebruik; geen SLA,ja — OSM + CyclOSM,JA,geen,fair-use; kan zonder aankondiging wegvallen,tegelposities naar OSM-France,geen,laag kan elk moment wegvallen,zelfde beslissing als PR04,https://openmaps.fr/tile-usage-policy.html
PR06,Esri World Imagery,Satellietlaag in navigator,web,server.arcgisonline.com World_Imagery,ONBEKEND — geen ArcGIS-account aantoonbaar,gratis alleen niet-inkomstengenererend; commercieel vereist ArcGIS-licentie,ja — © Esri Maxar Earthstar Geographics GIS User Community,JA,geen,Esri-voorwaarden; geen contract aantoonbaar,tegelposities naar Esri,geen,juridisch onzeker bij commercieel gebruik,beslissing: laag schrappen of ArcGIS-licentie,https://www.esri.com/en-us/legal/terms/web-site-service
PR07,Overpass API (3 instanties),OSM-data: klimmen/wegobjecten/ondergrond/opmerkingen/POIs/volgauto,server,maps.mail.ru + overpass-api.de + overpass.kumi.systems,N.V.T. — publieke instanties zonder contract/SLA,gematigd gebruik; zwaar/commercieel kan geweigerd worden,ODbL-verwijzing bij afgeleide data,deels (route-surfaces + route-remarks linken openstreetmap.org/copyright),in-memory 30min–6u (weg bij herstart); road_objects persistent,geen contractuele limieten; throttling onaangekondigd,bbox rond gebruikersroutes naar maps.mail.ru (VK/RU) als eerste keus; volgauto uitsluitend mail.ru,mirror-rotatie in 4 modules; 2 modules zonder fallback; 1 module alleen mail.ru,drie inconsistente faalstrategieën,beslissing mirror-volgorde/privacy + evt. eigen instantie bij schaal,https://wiki.openstreetmap.org/wiki/Overpass_API
PR08,Nominatim,Geocoding klimmenverkenner,server,nominatim.openstreetmap.org/search,N.V.T. — publieke OSMF-dienst,licht gebruik toegestaan; bulk/zwaar verboden,ja — OSM-attributie; identificerende User-Agent verplicht,User-Agent aanwezig (SparkiKlimmen/1.0) ✔; UI-attributie via kaart; 1 req/s niet technisch afgedwongen,aanbevolen proxy-cache ontbreekt (gebruik is licht),max 1 verzoek/seconde absoluut,zoektermen (plaatsnamen) naar OSMF,eerlijke bron-onbereikbaar-melding,laag bij huidig gebruik; bij schaal eigen geocoder,geen actie nu; bij schaal herzien,https://operations.osmfoundation.org/policies/nominatim/
PR09,Open-Meteo,Alle weerdata (server) + actuele wind client-side in webnavigator,server + web,api.open-meteo.com/v1/forecast,N.V.T. — gratis sleutelloos endpoint; geen abonnement aantoonbaar,gratis endpoint UITSLUITEND niet-commercieel (apps met abonnementen/advertenties = commercieel) — NIEUW aandachtspunt,ja — CC BY 4.0 bronvermelding,NIET aangetroffen in UI (niet elk scherm geverifieerd),korte in-memory cache server-side; client-side geen,10.000/dag 5.000/uur 600/min (gratis tier); geen uptime-garantie,afgeronde coördinaten (~111 m) naar Open-Meteo; client-side rechtstreeks vanuit browser,eerlijk geen weer bij falen (nooit verzonnen),bij commerciële lancering abonnement verplicht (ander endpoint+sleutel),beslissing: API-abonnement vóór commerciële start + attributie,https://open-meteo.com/en/terms
PR10,Wikipedia REST + Wikidata,Klimomschrijvingen,server,*.wikipedia.org + www.wikidata.org,N.V.T.,toegestaan (CC BY-SA / CC0),Wikipedia-tekst CC BY-SA: naamsvermelding + link,bronlabels bestaan (climb-types.ts); volledige CC BY-SA-naleving per scherm NIET geverifieerd,geen,geen harde limieten; identificerende User-Agent aanwezig,zoektermen klimnamen,eerlijke bron-onbereikbaar-melding,laag,attributieweergave verifiëren in attributiespec,https://en.wikipedia.org/wiki/Wikipedia:Copyrights
