functie,engine,altijd_aanwezig,gratis,go,compleet,nooit_betaald
"Account, privacy & databeheer",account/privacy-routes,true,"{""data"":""alles van jezelf"",""historie"":""volledig"",""uitleg"":""volledig"",""voorspelling"":""n.v.t."",""actie"":""export, toestemmingen, opzeggen, verwijderen (14d)""}","{""idem"":true}","{""idem"":true}",volledig — expliciete tier-onafhankelijke garantie
Basisprofiel & Sportpaspoort,athlete_profiles + sportpaspoort,true,"{""data"":""eigen profiel + herkomst"",""historie"":""volledig"",""uitleg"":""begrijpelijke taal"",""actie"":""zelf bijwerken""}","{""extra"":""profiel-consistentievragen en voorstellen""}","{""extra"":""afgeleide identiteit/lenzen op /you in volle diepte""}",
Activiteitenoverzicht & sessiedetail,sessions + Data Hub,true,"{""data"":""alle eigen activiteiten + basisgrafieken"",""historie"":""volledig"",""uitleg"":""basis"",""actie"":""import/export GPX""}","{""extra"":""herstel- en belastingsvertaling per rit, eenvoudige trends""}","{""extra"":""volledige streams/power-bests-diepte, patroonanalyse over seizoenen""}",
Analyse,lib/analyse-dashboard.ts + computeLoadSeries (één architectuur),true,"{""data"":""kernmetrieken"",""historie"":""recente periode (voorstel: 90 dagen presentatie, berekening blijft volledig)"",""uitleg"":""begrijpelijke taal, uitleglaag altijd gratis"",""voorspelling"":""geen"",""actie"":""inzicht tonen""}","{""data"":""kernmetrieken + eenvoudige trends"",""historie"":""seizoen"",""uitleg"":""meer duiding"",""voorspelling"":""richtinggevend (geen scenario's)"",""actie"":""haalbare vervolgstappen""}","{""data"":""volledige Performance Lab-diepte"",""historie"":""volledig"",""uitleg"":""uitgebreide verklaringen"",""voorspelling"":""scenario's en voorspellingen"",""actie"":""autonome bijsturing""}",
Routes & navigatie,route-engine + bibliotheek + nav,true,"{""data"":""route maken/import/export waar toegestaan, bibliotheek"",""uitleg"":""basis"",""actie"":""navigeren""}","{""extra"":""navigatie-plus (routevoorstellen, omgevingsverrijking, verbeterlus)""}","{""extra"":""wedstrijd-/verkenningsroutes gekoppeld aan dossier""}",
Training & planning,plan-engine (deterministisch) + adaptieve voorstellen,dag-advies basis,"{""data"":""één eerlijk dag-advies + zelf plannen"",""historie"":""beperkt"",""uitleg"":""basis"",""voorspelling"":""geen"",""actie"":""zelf invoeren""}","{""data"":""basis trainingsstructuur (weekritme)"",""uitleg"":""praktische dagelijkse begeleiding"",""voorspelling"":""eenvoudig"",""actie"":""voorstellen bevestigen""}","{""data"":""volledige autonome coaching + uitgebreide periodisering"",""uitleg"":""volledige verklaringen (uitleglaag diep)"",""voorspelling"":""Core-forecast, scenario's"",""actie"":""plan-adaptatie automatisch met verantwoording""}",
Wedstrijden,race-engine (intel/advies/dossier),kalender + eigen registratie,"{""data"":""wedstrijden vastleggen, uitslag/reflectie"",""uitleg"":""basis"",""actie"":""zelf beheren""}","{""extra"":""voorbereiding basis (checklist, voeding richtwaarden)""}","{""extra"":""geavanceerde Race Intelligence: parcours, tactiek, scenario's, dossier""}",
Herstel & gezondheid,readiness/health-flow,true,"{""data"":""gezondheidsstatus + veiligheidsmeldingen"",""uitleg"":""begrijpelijk"",""actie"":""melden/herstelflow""}","{""extra"":""herstel- en belastingsvertaling dagelijks""}","{""extra"":""diepere herstelpatronen en voorspellend herstel""}","veiligheids- en gezondheidsmeldingen, niet_trainen-poort"
Materiaal,garage + material-engine,true,"{""data"":""garage, km-slijtage, defecten, materiaalcoach basis"",""actie"":""registreren + eerlijke signalen""}","{""extra"":""upgrade-advies per specialisme""}","{""extra"":""materiaal per wedstrijd gekoppeld aan dossier""}",
Sparki-observaties & briefing,observation-engine (deterministisch) + AI-woordlaag,veiligheidsobservaties,"{""data"":""eerlijke lege staten + veiligheidssignalen"",""uitleg"":""basis""}","{""data"":""dagelijkse praktische begeleiding (beperkte diepte)""}","{""data"":""volledige observaties, curiosity loops, verklaringen""}",
