finding_id,module,screen,classification,severity,viewport,trigger,expected_behavior,actual_behavior,root_cause,action_taken,test_result,evidence,status
F01,Kalender,/kalender,FUNCTIONEEL_DEFECT,middel,alle,app openen tussen 00:00–02:00 NL-tijd,"vandaag" is de lokale NL-dag,toISOString gaf de UTC-dag → items van vandaag verdwenen/verschenen verkeerd (2 plekken),UTC-datumval,vervangen door gedeelde localISODate(),kalender rendert; typecheck+prod-build groen,src/pages/kalender.tsx r83+r243,FIXED
F02,Plan,planvenster-hook,FUNCTIONEEL_DEFECT,middel,alle,idem 's nachts,planvenster begint op de lokale dag,dateStr gebruikte UTC-dag → venster schoof 's nachts een dag,UTC-datumval,dateStr → localISODate(),test:core-plan/core-plan-page/plan-window consumenten groen,src/hooks/use-training-plan.ts r17,FIXED
F03,Shell/Sportpaspoort,/paspoort,FUNCTIONEEL_DEFECT,laag,alle,idem,wedstrijdverleden gefilterd op lokale dag,UTC-dag,UTC-datumval,localISODate(),typecheck groen,src/pages/paspoort.tsx r74,FIXED
F04,Shell/Club,/club,FUNCTIONEEL_DEFECT,laag,alle,idem,aankomende wedstrijden op lokale dag,UTC-dag,UTC-datumval,localISODate(),typecheck groen,src/pages/club.tsx r409,FIXED
F05,Shell/Profiel,instellingen,FUNCTIONEEL_DEFECT,laag,alle,geboortedatum-invoer 's nachts,max-datum = lokale vandaag,UTC-dag,UTC-datumval,localISODate(),typecheck groen,profile-settings.tsx r1097,FIXED
F06,Shell/navigatie,Meer-menu,FUNCTIONEEL_DEFECT,middel,alle,Meer openen als sporter,/samen bereikbaar vanuit Meer (navigatiecontract),/samen ontbrak in ATHLETE_MEER_CHAPTERS → Samen onbereikbaar via Meer op de 5-tab-shell,regressie bij eerdere menu-opschoning,/samen-hoofdstuk teruggezet,test:navigation weer groen (was rood),src/lib/chapters.ts,FIXED
F07,Routes,testinfra routes-tabs,FUNCTIONEEL_DEFECT,laag,n.v.t.,test:routes-tabs draaien,test dekt volledig import-oppervlak,nieuwe RouteLibrarySection-import trok leaflet.css de node-test in (ERR_UNKNOWN_FILE_EXTENSION),mock ontbrak voor nieuw import-oppervlak,mock toegevoegd in routes-tabs.test.tsx,test:routes-tabs weer groen (was rood),src/pages/routes-tabs.test.tsx,FIXED
F08,Shell,DS-navigatieprimitief,VERVALLEN_OF_DUBBEL,laag,n.v.t.,code-inspectie,één navigatiebron,DS_NAV_STANDAARD (default in DS-primitief) wijkt af van commerciële nav; wordt nergens zonder expliciete items gebruikt (alleen DS-tests),historische default,geen actie (alleen test-/dev-oppervlak),design-system-test groen,components/ds/mobile-nav.tsx r30,GEEN_ACTIE
F09,Analyse,/lab radar,WERKT_EN_BEWEZEN,-,alle,verkennersvermoeden "parallelle berekening",één gedeelde berekening,lab.tsx importeert computePerformanceRadar uit gedeelde lib/performance-radar.ts (geen duplicaat); localTodayIso gebruikt al lokale getters,-,geen,test:performance-radar groen,lab.tsx r130+r148,GEEN_DEFECT
F10,Routes,route-explorer kaart,WERKT_EN_BEWEZEN,-,alle,selectie vóór het tekenen van lagen,geen crash,bringToFront via optional chaining + fitBounds vooraf; invalidateSize met mapRef-guard,-,geen,code-inspectie,route-explorer.tsx r237-244,GEEN_DEFECT
