id;module;scherm;ernst;beschrijving;vermoedelijke_oorzaak;aanbevolen_oplossing;bestaande_code_hergebruiken;regressietest_nodig
"SPARKI-INS-001";"INSTELLINGEN";"Koppelingen (Strava)";"P1";"Strava koppelen faalt hard: OAuth-callback gooit 'SPARKI_TOKEN_KEY ontbreekt: gevoelige tokens kunnen niet veilig worden opgeslagen' (routes/connectors.ts:548 via lib/token-crypto.ts:42). Gezien in deployment-logs 2026-07-29.";"Omgevingsvariabele SPARKI_TOKEN_KEY is niet gezet in deze omgeving; tokenversleuteling faalt fail-closed.";"SPARKI_TOKEN_KEY zetten in dev én productie; bij ontbreken een eerlijke gebruikersmelding tonen i.p.v. generieke fout na de redirect.";"ja";"ja"
"SPARKI-PLA-001";"PLAN";"DayHome";"P1";"Mogelijkheid tot 'blank crash' bij ongeregistreerd DayType (day-home.tsx:492)";"Hoewel er een fallback naar GeneralDayHome is, kan een onverwacht DayType in de registry leiden tot fouten in briefing-resolutie.";"Maak de registry-lookup type-safe en voeg een globale ErrorBoundary toe rond de Component render.";"nee";"ja"
"SPARKI-RIJ-001";"RIJDEN";"Live Navigatie";"P1";"Locatieverlies tijdens rit pauzeert navigatie (reeds hersteld in Taak #404) maar hervatting niet geautomatiseerd getest";"Handmatige actie vereist na hervatting permissie";"Automatiseer hervattest (was Taak #405, nu gecancelled)";"nee";"ja"
"SPARKI-VAN-001";"VANDAAG";"Emergency";"P1";"Blokkerend: 'Ik ben weer hersteld' knop voert triggerPlanRefresh uit op server, maar frontend UI-state (DayType) hangt af van dashboard-invalidate die soms te vroeg vuurt. (artifacts/api-server/src/routes/athlete.ts:414)";"Race-condition tussen server-side plan herberekening en client-side cache invalidation.";"";"ja";"ja"
"SPARKI-ADM-001";"ADMIN";"ADMIN-OPS";"P2";"De 'ProvenanceSection' (artifacts/sparki/src/pages/admin.tsx:238) staat toe om elk willekeurig clerkId in te vullen om dataherkomst te controleren. Hoewel gegated door requireAdmin, is er geen audit-log van WELKE sporter wordt gecontroleerd, wat privacygevoelig is voor beheerders.";"Ontbrekende subjectClerkId in de writeAudit call voor de provenance route.";"Log de gecontroleerde clerkId in de audit-metadata van de GET /api/admin/data-provenance route.";"nee";"nee"
"SPARKI-ADM-002";"ADMIN";"admin.tsx:603";"P2";"Gegevens-opschoning 'Uitvoeren' knop is direct klikbaar na een droogdraai zonder expliciete extra waarschuwing dat dit onomkeerbaar is (behalve de native confirm).";"Native browser-confirm is makkelijk per ongeluk weg te klikken.";"Gebruik een UI-modal met expliciete checkbox ""Ik begrijp dat dit records wijzigt"".";"ja";"nee"
"SPARKI-ANA-001";"ANALYSE";"InsightsSection";"P2";"Lege 'Wat vandaag opvalt' sectie zonder actie bij geen data (insights-section.tsx:49)";"Toont alleen passieve tekst; biedt de gebruiker geen directe weg om data te genereren (bijv. 'Importeer rit').";"Voeg een knop toe naar de import-pagina of handmatige log-functie binnen de lege staat.";"ja";"nee"
"SPARKI-CLU-001";"CLUB";"CLUB-BEHEER";"P2";"Een club-owner kan de status van de club wijzigen naar 'beperkt', 'geschorst' of 'beëindigd' (artifacts/sparki/src/pages/club-beheer.tsx:133), maar de backend (artifacts/api-server/src/routes/club.ts) controleert deze status NIET consistent bij schrijfacties zoals het plannen van trainingen of het versturen van berichten.";"Schrijfacties valideren alleen lidmaatschap/rol, niet de globale club-status.";"Voeg een middleware of check toe aan club-schrijfroutes die valideert of club.status === 'actief'.";"ja";"ja"
"SPARKI-CLU-002";"CLUB";"club-beheer.tsx:558";"P2";"Uitschrijven van leden gebruikt window.confirm, wat op mobiel een storende browser-native popup geeft ipv een consistente UI-modal.";"Browser-native fallback voor kritieke actie.";"Vervang window.confirm door een UI-confirm-modal in Sparki-stijl.";"ja";"nee"
"SPARKI-CLU-003";"CLUB";"club-permissions.ts:311";"P2";"isMinorForClub faalt 'closed' (true) als het profiel ontbreekt, wat correct is voor privacy, maar geen audit-log genereert van deze toegangsweigering.";"Silent fail-closed.";"Log een waarschuwing/audit als een leeftijdscheck faalt door ontbrekende data.";"ja";"nee"
"SPARKI-CLU-004";"CLUB";"club.ts:183";"P2";"countActive telt alle leden; als een pakketlimiet wordt bereikt, kunnen ook 'alleen-lezen' rollen niet meer worden toegevoegd, wat operationeel belemmerend is.";"Generieke telling over alle rollen.";"Sluit niet-trainende/vrijwillige rollen uit van de pakketlimiet telling indien het pakket alleen op sporters/trainers doelt.";"ja";"nee"
"SPARKI-COA-001";"COACH";"COACH-COCKPIT";"P2";"Individuele cockpit en data-inzage zijn strikt fail-closed op hasDirectCoachLink (artifacts/api-server/src/routes/coach-cockpit.ts:70), waardoor club-trainers zonder directe link GEEN individuele signalen, trainingen of berichten kunnen zien, ondanks dat ze wel verantwoordelijk zijn voor de sporter in een teamcontext.";"Club-toegewezen trainers hebben geen 'full' sharing privilege in gateAthlete.";"Implementeer getTrainerRelation (artifacts/api-server/src/lib/sharing.ts:241) in gateAthlete om 'summary' toegang toe te staan voor club-trainers.";"ja";"ja"
"SPARKI-COA-002";"COACH";"coach-cockpit.tsx:702";"P2";"Privénotities tonen een generieke foutmelding (""niet beschikbaar"") bij isError, terwijl dit ook door een tijdelijke API-storing kan komen ipv een ontbrekende koppeling.";"Te specifieke aanname in de error-catch.";"Differentieer tussen 403 (geen koppeling) en 500 (storing) voor betere feedback.";"ja";"nee"
"SPARKI-COA-003";"COACH";"coach-cockpit.ts:288";"P2";"API forceert een verplichte notitie bij 'parkeren', terwijl dit in de UI vaak als een snelle 'later-doen' actie wordt gezien.";"Te strikte backend validatie voor een tijdelijke status.";"Maak de notitie optioneel voor de status 'parkeren'.";"ja";"nee"
"SPARKI-COA-004";"COACH";"coach-cockpit.ts:518";"P2";"Cross-coach isolatie staat bewerking toe door elke coach als coachClerkId NULL is (legacy); dit kan leiden tot data-overschrijving tussen concurrerende coaches.";"Te soepele legacy fallback.";"Wijs bij de eerste bewerking de huidige coachId toe aan legacy-rijen of kies de oudst gekoppelde coach.";"ja";"ja"
"SPARKI-INS-002";"INSTELLINGEN";"Privacy";"P2";"De `ParentShareRow` (links-section.tsx:94) past harde privacy-regels toe voor minderjarigen (onder 16), maar de `tier` (u16/adult) wordt uitsluitend uit de initiële `access` prop gelezen die niet reactief lijkt op wijzigingen in het profiel (geboortedatum) zonder een volledige refresh.";"Statische tier-check in een subcomponent.";"Zorg dat de `tier` wordt afgeleid van de meest recente profielgegevens in de hook.";"ja";"ja"
"SPARKI-INS-003";"INSTELLINGEN";"Privacy";"P2";"Privacy-lek: Deel-instellingen voor ouders/coaches en profielprivacy-grid zijn gescheiden; wijziging in de een werkt niet door in de ander. (artifacts/sparki/src/components/sparki/profile-privacy-grid.tsx:54)";"Tekstuele waarschuwing (line 54) dat keuzes apart gelden; kans op onbedoelde data-expositie bij complexe relaties.";"";"nee";"ja"
"SPARKI-LOG-001";"LOGIN";"Onboarding";"P2";"De `OnboardingV2` component (onboarding-v2.tsx:136) herstelt de state uit `sessionStorage`, maar als een gebruiker de onboarding verlaat en later terugkomt via een andere tab, kan hij in een inconsistente staat belanden omdat de database nog niet op 'complete' staat maar de `sessionStorage` leeg is.";"Afhankelijkheid van tab-specifieke `sessionStorage` voor een kritiek proces dat over meerdere paginaloads (OAuth) heen gaat.";"Gebruik een robuustere methode zoals `localStorage` of check de server-side onboarding state bij elke stap.";"ja";"ja"
"SPARKI-LOG-002";"LOGIN";"Onboarding";"P2";"In `api-server/src/routes/athlete.ts:200` wordt de lengte gevalideerd tussen 100 en 250 cm. Sporters buiten deze range (bijv. zeer jonge talenten of uitzonderlijk lange mensen) kunnen hun profiel niet opslaan zonder duidelijke foutmelding in de UI (het wordt stilzwijgend genegeerd en blijft `undefined`).";"Harde grenzen in de API zonder UI-terugkoppeling.";"Maak de grenzen ruimer of geef een specifieke validatiefout terug aan de frontend.";"ja";"ja"
"SPARKI-LOG-003";"LOGIN";"Onboarding";"P2";"Nieuwe gebruikers kunnen in een lus komen of de app niet in als provisioning (sync) faalt; 'AccountNotReady' blokkeert toegang tot de app zonder user_profile. (artifacts/sparki/src/App.tsx:212)";"AccountGate (line 250) weigert alle children als profile ontbreekt. Fail-closed principe toegepast.";"";"ja";"ja"
"SPARKI-PLA-002";"PLAN";"PlanWizard";"P2";"Gebruiker kan de wizard voltooien zonder trainingsdagen te selecteren als ze stap overslaan (plan-wizard.tsx:123)";"Valideert alleen bij expliciete klik op 'Volgende', maar 'volgende()' wordt ook indirect aangeroepen of stappen zijn toegankelijk.";"Voeg strikte validatie toe aan de 'bouwPlan' functie en deactiveer de primaire actieknop bij ontbrekende selectie.";"ja";"ja"
"SPARKI-PLA-003";"PLAN";"TrainingPlanPanel";"P2";"Geen foutmelding of alternatief als thuislocatie ontbreekt bij route-generatie (training-plan-panel.tsx:430)";"Slechts een passieve melding in de UI dat er geen route is; geen actieve 'stel nu in' knop in de context van de ontbrekende route.";"Vervang de passieve melding door een actieve knop naar de locatie-picker (hergebruik HomeLocationField).";"ja";"ja"
"SPARKI-PLA-004";"PLAN";"AddTraining";"P2";"Geen validatie op toekomstige datum bij 'Training inplannen' (add-training.tsx:341)";"Gebruiker kan technisch een training in de toekomst plannen die eigenlijk in het verleden ligt als de datum-picker niet goed wordt gebruikt.";"Forceer de min-datum op de HTML-input en voeg een validatie-check toe voor submit.";"ja";"ja"
"SPARKI-PLA-005";"PLAN";"GeneralDayHome";"P2";"Onboarding-flow voor nieuwe sporters mist diepe integratie (general-day-home.tsx:70)";"De onboarding-stappen zijn simpele navigatie-knoppen zonder visuele voortgangsindicatie.";"Vervang de lijst door een voortgangsbalk of checklist die afvinkt bij voltooiing.";"ja";"nee"
"SPARKI-PRO-001";"PROFIEL";"Instellingen";"P2";"In `TeamIdentitySection` (profile-settings.tsx:140) worden foutmeldingen bij logo-uploads (zoals `logoError`) getoond, maar er is geen toegankelijkheids-announcement (aria-live) voor deze fouten, waardoor ze gemist kunnen worden door screenreaders.";"Ontbrekende aria-live regio voor dynamische foutmeldingen.";"Voeg `aria-live=""polite""` toe aan de foutmelding paragraaf.";"ja";"nee"
"SPARKI-PRO-002";"PROFIEL";"Sportpaspoort";"P2";"Data-privacy: Export-functie bevat gevoelige velden (gezondheid, locatie) die handmatig uitgezet moeten worden; default is 'aan' voor historie/ontwikkeling. (artifacts/sparki/src/components/sparki/sport-passport.tsx:64)";"EXPORT_OPTIONS (line 64) zet historie en ontwikkeling default op true, wat medische trends kan bevatten.";"";"ja";"ja"
"SPARKI-PRO-003";"PROFIEL";"You";"P2";"Owner-check: ownsObservation filtert client-side op 'you' categorie; API stuurt alle observaties ongefilterd mee. (artifacts/sparki/src/pages/you.tsx:413)";"Filteren gebeurt in de component (line 413) ipv bij de bron; overbodige data-overdracht van niet-zichtbare inzichten.";"";"nee";"nee"
"SPARKI-RIJ-002";"RIJDEN";"Ritregistratie";"P2";"Locatiepermissie-uitleg blokkeert rit-start maar systeemdialoog kan alsnog geweigerd worden";"Flow in record.tsx:183-193 start opname zonder check of systeem-OK echt gegeven is";"Wacht op 'granted' status van useLiveLocation alvorens recorder.start()";"ja";"ja"
"SPARKI-RIJ-003";"RIJDEN";"Ritregistratie";"P2";"Crash-recovery (onSaveRecovered) wist recovery store pas na succesvolle save, maar cancel wist points-state";"record.tsx:340 zet points op null, waardoor onafgemaakte rit niet meer direct bereikbaar is tot herstart";"Points-state behouden bij cancel van review";"ja";"ja"
"SPARKI-RIJ-004";"RIJDEN";"Mobiel";"P2";"Navigation-backwards flow (goBack) gebruikt hardcoded router.replace(""/"") bij lege stack";"Verschillende schermen (record.tsx:175, [id].tsx:89) sturen renner naar ""/"" ipv contextueel logisch scherm";"Gebruik Expo Router's Href-safe navigatie of onthoud herkomst";"nee";"ja"
"SPARKI-RIJ-005";"RIJDEN";"navigate/[id].tsx";"P2";"Gebruiker kan navigatie verlaten zonder actieve rit te stoppen; app-badge (setRideActive) en actieve navigatie (saveActiveNav) blijven in de achtergrond draaien zonder dat de gebruiker dit ziet of eenvoudig kan stoppen bij terugkomst.";"De goBack handler in artifacts/sparki-mobile/app/(app)/navigate/[id].tsx:670 voert router.back() uit zonder recorder.stop() of clearActiveNav() aan te roepen.";"Voeg een waarschuwing of automatische stop toe bij het verlaten van de navigatie terwijl recorder.recording waar is.";"nee";"ja"
"SPARKI-RIJ-006";"RIJDEN";"useRideRecorder.ts";"P2";"Dataverlies bij crash: de gereden rit wordt in de voorgrond (web/geen permissie) wel naar disk geschreven (persistForegroundRide), maar bij een herstart op de mobiele app (index.tsx) wordt de actieve navigatie hersteld ZONDER de gereden punten, waardoor de gebruiker de rit niet kan afmaken met behoud van de eerdere track.";"loadActiveNav in lib/active-nav.ts laadt alleen de RouteDetail, niet de RidePoint[] van de afgebroken opname.";"Breid ActiveNav uit met de huidige track-points of zorg dat useRideRecorder deze bij herstel automatisch koppelt aan de actieve route.";"nee";"ja"
"SPARKI-ROU-001";"ROUTES";"Routeplanner";"P2";"GPX-import accepteert 'surface' van client zonder validatie tegen schema";"coerceSurface in routes.ts:3370 ontbreekt of is te laks (geen database-enum check)";"Strict enum check toevoegen in api-server";"ja";"nee"
"SPARKI-ROU-002";"ROUTES";"routes.ts";"P2";"Data-trust: Bij GPX-import via de API (routes.ts:3365) wordt de distance_km en elevation_gain_m direct uit de GPX-parser overgenomen, maar de parser (gpx-parse.ts:188) rondt de afstand af met Math.round(distanceKm * 100) / 100. Dit kan leiden tot kleine discrepanties tussen de opgetelde punten in de geometry en de opgeslagen afstand in de database.";"Afronding in de parser-summary versus de ruwe geometry.";"Sla de ongefrondeerde waarden op of herbereken de metadata consistent bij gebruik.";"nee";"nee"
"SPARKI-ROU-003";"ROUTES";"routes.ts";"P2";"N+1 Query in openbare route-ontdekking: In de /api/routes/ontdek route (routes.ts:932) wordt per unieke eigenaar (max 100) een aparte query uitgevoerd naar isMinorAthlete en ownerHome (regels 971-987), wat de response-tijd van de ontdek-pagina ernstig vertraagt bij veel verschillende auteurs.";"Individuele async calls in een Promise.all over ownerIds.";"Gebruik een IN-clause query om alle athlete-data en homes in één keer op te halen voor de gehele set.";"nee";"nee"
"SPARKI-TEC-001";"TECHNIEK";"Algemeen";"P2";"Data-trust: Hardcoded fallback-teksten in TrainingDayHome.tsx:208 wekken indruk van live data";"Regel 208: ""Weer, route & beste vertrektijd — externe koppeling volgt""";"Vervang door duidelijke 'Coming Soon' placeholder of verberg";"nee";"nee"
"SPARKI-VAN-002";"VANDAAG";"Home";"P2";"De ""HealthMomentBlock"" (day-home.tsx:139) toont een harde waarschuwing bij ziekte/blessure, maar de knop ""Ik ben weer hersteld"" voert een mutatie uit zonder de lokale cache van `useAthleteDashboard` direct bij te werken (alleen de API wordt aangeroepen), wat kan leiden tot een trage UI-update (optimistic update ontbreekt).";"Geen optimistic update of directe invalidatie in de onClick handler (day-home.tsx:168).";"Voeg een `onSuccess` invalidatie toe aan de `setStatus.mutate` call.";"ja";"ja"
"SPARKI-VAN-003";"VANDAAG";"Vandaag";"P2";"In `day-home.tsx:246` wordt de weer-sectie getoond op basis van `weatherAllowed(leadMoment)`. De `leadMoment` wordt berekend op basis van client-side vlaggen. Als de API voor het dashboard faalt, kan de app in een 'loading' state blijven hangen zonder duidelijke error-state voor de gebruiker buiten de StateCard.";"Dashboard-data is cruciaal voor de 'leadMoment' bepaling.";"Voeg een globale error boundary of expliciete dashboard error handling toe in `DayHomeInner`.";"ja";"ja"
"SPARKI-VAN-004";"VANDAAG";"Home";"P2";"Data-trust risico: Weather-module toont fallback/mock data als herkenbaar echte data ('onbekend' of 'geen data' ontbreekt in weergave). (artifacts/sparki/src/components/sparki/home-weather-row.tsx)";"WeatherAllowed gate (App.tsx:48) is aanwezig, maar visuele fallback in component kan misleidend zijn.";"";"ja";"nee"
"SPARKI-VAN-005";"VANDAAG";"Home";"P2";"Mobiel vs Desktop layout: BottomNav is fixed op mobiel, maar ScreenShell op desktop mist soms consistente zijbalk-sync voor alle hoofdstukken. (artifacts/sparki/src/components/sparki/bottom-nav.tsx:62)";"Fixed bottom-nav (line 62) op mobiel; desktop-navigatie hangt af van ScreenShell implementatie per pagina.";"";"ja";"ja"
"SPARKI-ACT-001";"ACTIVITEITEN";"RouteLibrary";"P3";"Geen bevestiging bij verwijderen van route die in wedstrijden wordt gebruikt (route-library.tsx:512)";"De window.confirm is generiek en controleert niet of de route daadwerkelijk gekoppeld is.";"Voeg een check toe aan de API/Client of de route gekoppeld is en toon een specifiekere waarschuwing.";"ja";"nee"
"SPARKI-ACT-002";"ACTIVITEITEN";"RouteLibrary";"P3";"Menu 'Zichtbaarheid' (Openbaar) geeft geen indicatie van huidige staat in het menu zelf (route-library.tsx:440)";"Gebruiker moet op het label vertrouwen in plaats van een visueel vinkje of toggle-icon.";"Voeg een status-icoon (vinkje) toe aan het actieve menu-item voor zichtbaarheid.";"nee";"nee"
"SPARKI-ADM-003";"ADMIN";"HEALTH";"P3";"Health checks kunnen handmatig worden gestart (artifacts/api-server/src/routes/admin.ts:246), maar er is geen rate-limit op deze zware operatie, waardoor een admin per ongeluk de server kan overbelasten door herhaaldelijk op 'Run' te klikken.";"Ontbrekende throttle op de /health/run endpoint.";"Voeg een debouncing of cooldown periode toe van 60 seconden per admin.";"nee";"nee"
"SPARKI-ADM-004";"ADMIN";"admin.tsx:279";"P3";"Admin Provenance clerkId input mist validatie op het format vóór verzenden; lege strings of ongeldige karakters leiden tot onnodige 404/500 API calls.";"Ontbreken van client-side validatie.";"Voeg een regex-check of min-length toe aan de input.";"ja";"nee"
"SPARKI-ANA-002";"ANALYSE";"SessionGraphs";"P3";"Geen 'empty-state' voor ontbrekende hartslag/vermogen zones, toont lege ChartFrame (session-graphs.tsx:261)";"De component rendert niets (null) maar de omringende layout houdt geen rekening met het volledig ontbreken van beide zone-types.";"Toon een duidelijke 'Geen zone-data' placeholder als noch pZones noch hZones beschikbaar zijn.";"ja";"nee"
"SPARKI-ANA-003";"ANALYSE";"SessionGraphs";"P3";"Zone-verdeling op basis van schatting wordt alleen in kleine letters genoemd (session-graphs.tsx:271)";"Data-trust probleem: gebruiker kan zones als absoluut aannemen terwijl ze op een leeftijdsformule gebaseerd zijn.";"Maak de waarschuwing 'Zones op basis van schatting' prominenter (bijv. met een info-icoon of kleuraccent).";"ja";"nee"
"SPARKI-ANA-004";"ANALYSE";"SessionGraphs";"P3";"Vergelijking met vorige rit kan onterecht resultaten tonen bij minimale overlap (session-graphs.tsx:42)";"De 'assessComparability' is de enige barrière, maar de drempels voor duur/type kunnen te ruim zijn voor een zinvolle power-vergelijking.";"Verscherp de vergelijkingseisen voor power-data (bijv. binnen 10% duur-marge).";"ja";"nee"
"SPARKI-ANA-005";"ANALYSE";"WattageLab";"P3";"Hardcoded FTP-ranges in uitleg kunnen afwijken van berekende zones (wattage-lab.tsx)";"Als de documentatie/uitleg hardcoded is en de motor verandert, ontstaat er een data-trust kloof.";"Genereer de uitleg-teksten dynamisch op basis van de actuele zone-definities uit de config.";"nee";"nee"
"SPARKI-CLU-005";"CLUB";"CLUB-BEHEER";"P3";"Bij het uitnodigen van nieuwe leden (artifacts/sparki/src/pages/club-beheer.tsx:282) is het e-mailveld optioneel. Als dit leeg blijft, wordt een token-link gegenereerd die door iedereen gebruikt kan worden, wat een risico vormt voor ongewenste aanmeldingen bij publieke verspreiding.";"Geen beperking op token-gebruik bij generieke uitnodigingen.";"Voeg een verval-instelling (aantal dagen) of maximaal aantal gebruiken toe aan generieke uitnodigingen.";"ja";"nee"
"SPARKI-CLU-006";"CLUB";"CLUB-BEHEER";"P3";"Bij het aanmaken van seizoenen (artifacts/api-server/src/routes/club.ts:908) is er geen controle op overlappende data of dubbele namen, wat kan leiden tot verwarring in de kalender en bij teamtoewijzingen.";"Ontbrekende validatie op unieke actieve seizoenen.";"Valideer dat er maximaal één 'actief' seizoen per club is.";"ja";"ja"
"SPARKI-CLU-007";"CLUB";"club-beheer.tsx:197";"P3";"Kopieerknop voor clubcode geeft geen visuele bevestiging (vinkje/toast) na het klikken; gebruiker weet niet of het gelukt is.";"Ontbreken van success-feedback state.";"Voeg een kortstondige ""Gekopieerd!"" melding toe.";"ja";"nee"
"SPARKI-CLU-008";"CLUB";"club.ts:400";"P3";"API ondersteunt maxParticipants voor clubtrainingen, maar de club-beheer UI (regel 382) toont nergens hoeveel mensen zich al hebben aangemeld bij het inplannen.";"Missing read-back van capaciteit in de planningview.";"Toon huidige aanmeldingen vs maxParticipants in het overzicht.";"ja";"nee"
