finding_id,location,screen_or_api,data_type,classification,trigger,personal_data_risk,user_impact,action_taken,test_result,evidence,status
F01,artifacts/sparki/src/components/sparki/onboarding-gap-fill.tsx (fetch-catch),Onboarding gap-fill,profielgaten (gewicht/FTP/doelen),FOUTAFHANDELING_ONVOLDOENDE,API-fout op /api/onboarding/missing-data,ja,gebruiker werd stil als "compleet" gemarkeerd; plan op geschatte defaults zonder uitleg,hersteld: eerlijke foutstaat met "Opnieuw proberen" + expliciete keuze "Toch doorgaan met schattingen",web tsc+build groen,code-diff,HERSTELD
F02,artifacts/sparki-mobile/lib/volgauto-api.ts postVolgautoPosition + navigate/[id].tsx + VolgautoDriverMode.tsx,Volgauto positie-delen,live locatie,FOUTAFHANDELING_ONVOLDOENDE,netwerkfout bij POST positie,ja,afzender dacht dat de ander hem live zag terwijl updates stil stopten,hersteld: retourwaarde ok/niet-ok + na 2 opeenvolgende missers eerlijke HUD-melding bij renner én volgauto,mobiel tsc + ride-tracker-test groen,code-diff,HERSTELD
F03,artifacts/sparki-mobile/lib/ble-sensors.ts + hooks/useLiveSensors.ts + components/LiveSensorsPanel.tsx,BLE-sensoren tijdens rit,hartslag/vermogen/cadans,CROSS_USER_RISICO,voorkeurssensor niet gevonden binnen graceperiode → eerste passende sensor verbonden,ja (bv. hartslag van buurman in groep),paneel toonde wel de echte apparaatnaam maar niet dat dit een ANDERE sensor was dan de gekoppelde,hersteld: usedFallback-vlag + expliciete melding "let op: andere sensor dan je gekoppelde",mobiel tsc groen,code-diff,HERSTELD
F04,artifacts/sparki-mobile/lib/live-share-api.ts postLivePosition,Live locatie delen (vrienden),live locatie,GEEN_PROBLEEM,netwerkfout,ja,verzendlus pauzeert eerlijk (retourneert al boolean); leeskant her-controleert autorisatie,geen,bestaande code,bestaand gedrag,OK
F05,artifacts/sparki/src/lib/dev.ts + App.tsx + dev-preview.tsx,DevPreview/dev-bypass,seed-preview-atleten,EXPLICIETE_DEMO,import.meta.env.DEV (compile-time),nee,niet aanwezig in productiebundle (tree-shaken; eerder bewezen via bundle-grep),geen,eerder bundle-grep-bewijs,sparki-publish-check werkwijze,OK
F06,artifacts/sparki/src/pages/races.tsx + race-wizard.tsx (?step=N),Race-wizard demomodus,voorbeeldwedstrijd,EXPLICIETE_DEMO,querystring in dev-build,nee,alleen dev,geen,n.v.t.,import.meta.env.DEV-gate,OK
F07,artifacts/api-server/src/lib/auth.ts dev-auth-bypass,alle API's,identiteit,GEEN_PROBLEEM,NODE_ENV!=production ÉN DEV_AUTH_BYPASS=true (fail-closed),nee,geen prod-impact,geen,bestaande tests,dubbele grendel,OK
F08,artifacts/api-server/src/lib/training-plan.ts (AI-fallback),plangeneratie,trainingstitels/-omschrijvingen,VEILIGE_UI_PLACEHOLDER,AI-gateway onbereikbaar/ongeldige JSON,nee,generieke deterministische templates; cijfers nooit gefabriceerd (checkCompleteness faalt eerlijk),geen,bestaande tests,code-inspectie,OK
F09,artifacts/api-server/src/lib/world-seed.ts + world/*,Sparki World,fictieve renners,EXPLICIETE_DEMO,seed bij lege virtual_*-tabellen,nee,strikt gescheiden virtual_*-tabellen; UI toont als fictieve World,geen,n.v.t.,harde muur naar echte data (ontwerp),OK
F10,artifacts/api-server/src/lib/derived-load.ts,belastingscore TSS/IF,vermogen/FTP,EERLIJKE_LEGE_TOESTAND_BESTAAT,NP ontbreekt → gem. vermogen; FTP ontbreekt → null,nee,sportwetenschappelijk correcte afleiding; nooit verzonnen FTP,geen,bestaande tests,code-inspectie,OK
