scherm,route,viewport,screenshot,visuele_hierarchie,duidelijkheid,dichtheid,primaire_actie,navigatie_terug,scrollhoogte,klikken_naar_doel,toestanden_gezien,mobiel_vs_desktop,commercieel
onboarding,/_dev/onboarding (dev-preview-pad),390x844,01_onboarding_mobiel.jpg,"sterk: één boodschap, één knop","hoog; geen voortgangsindicatie of waardepropositie","zeer laag (bewust)","Verder (1 duidelijke CTA)","geen terug/afbreken zichtbaar","≈1 viewport (stap 1); niet instrumenteel gemeten","onbekend aantal stappen tot eerste waarde (adaptieve flow)","alleen eerste stap gezien; fout/laad NOT_PROVEN","identieke gecentreerde kolom; DEV-badge overlapt woordmerk op 390px (dev-artefact)","eerste indruk kaal maar premium; geen productwaarde-uitleg"
onboarding,/_dev/onboarding (dev-preview-pad),1440x900,01_onboarding_desktop.jpg,"sterk","hoog","zeer laag","Verder","geen terug/afbreken zichtbaar","≈1 viewport","onbekend","alleen stap 1","zelfde smalle kolom in 1440px","idem"
vandaag,/vandaag,390x844,02_vandaag_mobiel.jpg,"sterk: status → advies → verdieping","hoog; neutrale toon conform huisstijl","gemiddeld-hoog: 4 blokken + 2 vraagblokken","onduidelijk welke van 4 (advies/waarom/analyse/gevoel)","geen navigatiebalk zichtbaar; alleen zoek+menu-iconen","inhoud loopt door onder de vouw; niet instrumenteel gemeten","analyse: 1 klik; ander hoofdstuk: ≥2 (menu → keuze)","gevulde staat met adviesdata gezien","layout identiek (max-w-md kolom)","persoonlijk en geloofwaardig; 2 gelijktijdige vraagblokken = vraagdruk"
vandaag,/vandaag,1440x900,02_vandaag_desktop.jpg,"sterk","hoog","idem; 2 vraagblokken beide in eerste viewport","idem","idem","inhoud onder de vouw","idem","gevulde staat","≈448px kolom op 1440px = ±69% breedte ongebruikt","desktop oogt als opgeblazen telefoon-app"
kalender_seizoen,/kalender,390x844,03_kalender_mobiel.jpg,"goed: titel → Aankomend → Leefagenda → Wedstrijdkalender","hoog; eerlijke lege staten","laag (lege dev-omgeving)","versnipperd: Naar Trainen / Naar Wedstrijd / Iets toevoegen","Terug-knop top-anchored aanwezig; geen navigatiebalk","≥2 viewports (Wedstrijdkalender onder de vouw); niet instrumenteel gemeten","training plannen vanaf lege staat: ≥2 klikken (wegsturen naar /train)","lege staten gezien; fout/laad NOT_PROVEN","identieke kolom","lege staat stuurt weg i.p.v. inline plannen (werkblad-principe)"
kalender_seizoen,/kalender,1440x900,03_kalender_desktop.jpg,"goed","hoog","laag","idem","Terug aanwezig","Wedstrijdkalender op ≈879px net boven vouwrand","idem","lege staten","zelfde smalle kolom","idem"
activiteit_analyse,/activiteiten,390x844,04_activiteiten_mobiel.jpg,"goed: titel → lege-staatkaart met CTA","hoog","laag (lege staat)","Koppeling instellen (1 CTA)","Terug aanwezig; Journey-link klein rechtsboven","≈1 viewport (lege staat)","koppeling: 1 klik; handmatige upload: geen pad zichtbaar","lege staat gezien; rit-detail/analyse NOT_PROVEN (geen data)","identiek","doodlopend spoor zonder koppeling; bestandsimport bestaat maar wordt niet aangeboden"
activiteit_analyse,/activiteiten,1440x900,04_activiteiten_desktop.jpg,"goed","hoog","laag","Koppeling instellen","Terug aanwezig","≈1 viewport","idem","lege staat; analyse NOT_PROVEN","kaart blijft smal; veel leegte","Engelstalig label Journey zichtbaar"
routes,/routes,390x844,05_routes_mobiel.jpg,"goed: 5 gelijkwaardige actiekaarten","titel Navigatie-training ≠ nav-label Rijden ≠ route /routes","gemiddeld: 5 kaarten + bibliotheek eronder","Route laten maken (bovenste kaart)","geen Terug zichtbaar op nav-wortel; geen navigatiebalk","≥2 viewports (Routebibliotheek onder de vouw)","route maken: 1 klik","gevulde keuzestaat; bibliotheek-lege-staat niet in beeld","identiek","duidelijk aanbod; naamgeving verwart"
routes,/routes,1440x900,05_routes_desktop.jpg,"goed","idem naamgeving","gemiddeld","Route laten maken","idem","Routebibliotheek begint op ≈823px","1 klik","idem","zelfde smalle kolom","idem"
functies_ontdekken,/meer,390x844,06_meer_functies_mobiel.jpg,"grid 12 tegels, vlak (geen ordening op gebruik)","tegellabels helder; subtitels afgekapt (≥3 van 12)","hoog: 12 tegels + instellingen + support","geen; alles gelijkwaardig","geen Terug (nav-wortel); geen navigatiebalk","≥2 viewports","functie openen: 1 klik (vanaf /meer); vanaf elders ≥2","in-gebruik/gearchiveerd-status bestaat niet op dit scherm","identiek grid","Help & support en Admin Engelstalig; geen functie-status of upsell"
functies_ontdekken,/meer,1440x900,06_meer_functies_desktop.jpg,"idem","subtitels ook op desktop afgekapt","hoog","geen","idem","≥1,5 viewport","idem","idem","grid blijft 3 kolommen smal","idem"
abonnement_upgrade,geen route gevonden,390x844,geen screenshot,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,"afwezig: geen sporterroute/-scherm voor abonnement of upgrade","n.v.t.","entitlementslaag bestaat alleen backend + admin (entitlements-admin.tsx); geen waardecommunicatie richting sporter"
abonnement_upgrade,geen route gevonden,1440x900,geen screenshot,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,NOT_PROVEN,"afwezig","n.v.t.","idem"
