task_id,task_name,status,commit_sha,merged,tests_status,evidence_file,build_pack_mapping,duplicate_of,recommended_action,notes
"#390","Voer de goedgekeurde observatie-opschoning in productie uit","LOPEND_MERGE","","bezig","","","WP-A02 (productie-uitvoering)","","volgen",""
"#402","Vang merge-schade ook op de overige admin-schermen (feedback, mislukte imports, herkomst)","LOPEND_MERGE","","bezig","","","","","volgen",""
"#216","Verify mobile navigation end-to-end (web route → app → live Mapbox nav)","GEACCEPTEERD_NOG_NIET_GESTART","","nee","","","","","volgen",""
"#5","Activate race-day and emergency homepages once race & health data exist","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#6","Club & coaching module","CONCEPT_NIET_GESTART","","nee","","","WP-A07..A14 (club & coaching)","","beoordelen/ontdubbelen met Build Pack",""
"#7","Add automated checks that lock in the daily homepage logic","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#25","Add a Navigeer button to the linked-route detail drawer","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#26","Attach an existing saved route to a planned training","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#27","Restore automatic route suggestions so the app runs again","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#30","Let athletes change their home location after onboarding","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#31","Tell athletes when a training route couldn't be generated","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#36","Make development and production databases match the app's data model","CONCEPT_NIET_GESTART","","nee","","","INFRA-06/12 (db-pariteit)","","beoordelen/ontdubbelen met Build Pack",""
"#37","Automatically test the coach advisory view so it can't silently break","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#39","Make tester QR a true one-scan entry (skip the accept tap)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#40","Take Sparki mobile (native companion app)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#41","Automatically verify a scanned tester QR lands testers in onboarding","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#43","Alert the admin when something breaks","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#44","Automatically verify uploaded routes export back to a faithful GPX","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#45","Show the athlete who scheduled each training (coach vs Sparki)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#46","Let a coach undo a training they adopted from Sparki's advice","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#47","Automatically test the coach plan-adoption flow so it can't silently break","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#51","Make onboarding land instantly instead of waiting on plan build","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#52","Show Sparki's curiosity loops and honest take on the Home screen too","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#53","Automatically catch it if the nightly health check ever stops working","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#57","Confirm exported routes navigate correctly on real Garmin/Wahoo devices","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#58","Let athletes export routes as Garmin FIT course files","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#64","Mark each climb on the route's elevation graph too","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#65","Tap a climb in the list to highlight it on the map","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#69","Let athletes upload a guide straight from their phone camera","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#70","Show analysed guides on the race agenda entry","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#71","Make sure Sparki never invents facts from a blurry guide","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#74","Let athletes fill in race course details so reports get sharper","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#75","Parse organiser race guides automatically to fill course details","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#76","Let Sparki read more file types (Word, Excel, GPX, CSV)","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
"#77","Let athletes delete items from their Sparki conversation","CONCEPT_NIET_GESTART","","nee","","","","","beoordelen/ontdubbelen met Build Pack",""
