id,naam,omschrijving,doelgroep,gebruikersvraag,trigger,entry_point,frontend_bestanden,backend,databronnen,output,afhankelijkheden,testdekking,bereikbaarheid,overlap,risico,status,classificatie
F-001,Dag-type home-engine,Rolbewuste startpagina kiest dagbeeld,renner,Wat is er vandaag voor mij?,app openen,/ (nav VANDAAG),components/sparki/day-home.tsx + day-homes/,GET /api/athlete/dashboard + /api/state,sessies+plan+metrics,dagbeeld,state engine,indirect,direct,F-020 herhaling,laag,volledig werkend,A
F-002,Sparki Core / Toestand,Levende toestand met glance-metrics en drill-in,renner,Hoe sta ik ervoor?,app openen,StateCard op /,state-card.tsx sparki-core.tsx core/,routes/state.ts engines/state/,load+slaap+checkin+gezondheid,toestand+actie,readiness,onzeker (engine-smokes),direct,F-004 deels,laag,volledig werkend,A
F-003,Dagelijkse check-in,Hoe voel je je vandaag,renner,—,ontbrekende check-in,bovenaan StateCard,state-card.tsx,athlete metrics routes,athlete_daily_metrics,readiness-input,—,via readiness,direct,—,laag,volledig werkend,A
F-004,Coach-analyse van de dag,Deterministische observaties + proza,renner,Wat valt op?,home laden,kaart op home,screen-shell.tsx coach-decision-card.tsx,routes/ai.ts engines/observation/,observaties+metrics,Wat-valt-op-kaart,observation engine,test:observation,direct,F-011 F-078,laag,volledig werkend,A
F-005,Dagelijkse briefing,Vers opgestelde tekstbriefing,renner,Wat betekent dit vandaag?,home (flag ai_observations),home,day-type-briefing.tsx,POST /api/ai/brief,context+metrics,briefingtekst,LLM-integratie,—,flag-gated,F-004,laag,volledig werkend,A
F-006,Adaptieve coachbeslissing,Beslislaag pas-je-training-aan,renner,Moet mijn training anders?,feedback/signalen,CoachDecisionCard home,coach-decision-card.tsx lib/coach-engine.ts,feedback-adjust routes,feedback+plan,voorstel,plan-engine,test:feedback-adjust (10),direct,F-022,middel (schema-wijziging),volledig werkend,A
F-007,Vervolgvragen,Avond-follow-up op persoonlijke context,renner,—,avond + context,FollowUpPrompt shell,follow-up-prompt.tsx,coach_followup_answers,context memory,vraag+antwoord,context-engine,test:context-memory,direct,—,privacy (gated),volledig werkend,A
F-008,Leskaart van de dag,Dagelijkse micro-les,renner,Wat kan ik leren?,home,onderaan /,leskaart-van-dag.tsx,knowledge/feed (onzeker),kennisbank,leskaart,kennisscan,—,direct,F-092,laag,volledig werkend,B
F-009,Thuisweer,Open-Meteo weer in dagadvies,renner,Kan ik buiten trainen?,home,home-secties,home-sections.tsx,routes/weather.ts,Open-Meteo,weerregel,thuislocatie,—,direct,—,laag,volledig werkend,C
F-010,Zelf-update hub,Vandaag als enige zelfinvoer-oppervlak,renner,Ik wil iets doorgeven,update-sectie,/,add-training.tsx health-status-control.tsx,athlete+nutrition routes,eigen invoer,opgeslagen update,—,—,direct,—,laag,volledig werkend,A
F-011,Ontwikkelprioriteit-kaart,Grootste hefboom op home,renner,Waar word ik beter van?,home,home-kaart,ontwikkelprioriteit-home-card.tsx,client-side lib/ontwikkelprioriteit.ts,load-series,prioriteit,—,test:ontwikkelprioriteit,direct,F-030 (zelfde model),laag,volledig werkend,A
F-012,Presentatievariatie,Andere volgorde per app-open; getallen stabiel,renner,—,elke app-open,onzichtbaar,lib/session.ts,lib/variation.ts (api-server),sessieseed,volgorde,—,—,n.v.t.,—,laag,volledig werkend,C
F-013,Engagement-nudges,Terugkeer-nudges op echt open-ritme,renner,—,ritme-afwijking,notificatie,—,engines/engagement/ routes/engagement.ts,tester_events,nudge,notificaties,test:engagement,indirect,F-130,laag,volledig werkend,C
F-020,Trainingspagina vier lagen,L1 bron L2 doel L3 vandaag L4 patronen,renner,Wat train ik en waarom?,nav TRAINEN,/train,pages/train.tsx train/,athlete+training-plan routes,plan+sessies,vier lagen,plan-engine,—,direct,F-001 (L3),laag,volledig werkend,A
F-021,Autonoom 3-wekenplan,Sparki bouwt/onderhoudt schema zonder coach,renner,Wat is mijn schema?,canBuild-gate,#three-week-plan op /train,three-week-plan.tsx training-plan-panel.tsx,routes/training-plan.ts engines/training-plan/,profiel+doelen+load,3-wekenplan,FTP+uren bekend,via feedback-adjust (indirect),direct,F-111 (coach-plan),middel (trainingsadvies),volledig werkend,A
F-022,Interactief schema + feedback,Dagen aanklikbaar; feedback → voorstel,renner,Kan dit anders?,tap op dag,3-wekenplan,day-detail-drawer.tsx workout-detail-drawer.tsx,training-plan PUT-validatie,plan+feedback,aangepast plan,F-021,test:feedback-adjust,direct,F-006,middel,volledig werkend,A
F-023,Werkout-/dagdetail,Detail-drawers geplande training,renner,Wat houdt deze training in?,tap,drawer,workout-detail-drawer.tsx day-detail-drawer.tsx,athlete workouts,plan,detail,—,—,direct,—,laag,volledig werkend,A
F-024,Trainingsverloop,CTL-sparkline + ontwikkeling uit echte series,renner,Word ik beter?,trainingshome,onderaan training-day-home,training-progression.tsx,GET /api/athlete/load,load-series,trend,—,—,direct,F-030,laag,volledig werkend,A
F-025,Kern-voorspelling,Voorspeld effect per training + WERKELIJK,renner,Wat doet deze training met me?,werkoutdetail,drawer,core-prediction-panel.tsx,routes/core-prediction.ts engines/core-prediction/,plan+load,voorspelling,—,test:core-prediction,direct,—,laag,volledig werkend,A
F-026,Dagadvies zonder plan,Eén concreet sessievoorstel op plan-loze dag,renner,Wat is vandaag verstandig?,geen plan,home/train,—,lib/day-advice lib/readiness,readiness+TSB,sessievoorstel,—,onzeker,direct,F-021,laag,volledig werkend,A
F-027,FTP-schattingswizard,Gids voor renners zonder FTP,renner,Wat is mijn FTP?,Ik weet mijn FTP niet,wizard-sheet,ftp-estimate-wizard.tsx,PUT profile,vragen,geschatte FTP,—,—,direct,F-028,laag,volledig werkend,B
F-028,FTP-vloer-afleiding,Eerlijke ondergrens uit NP-data,renner,—,ingest,automatisch,—,data-hub derived,NP-data,verhoogde schatting,F-043,test:derived-load,n.v.t.,F-027,laag,volledig werkend,C
F-029,Belastingscore-afleiding,TSS uit power+FTP bij ingest + self-heal,renner,—,ingest,automatisch,—,data-hub ingest,power+FTP,TSS,F-043,test:derived-load,n.v.t.,—,laag,volledig werkend,C
F-030,Ontwikkelkompas,Doel+belastbaarheid+benutting,renner,Waar sta ik in mijn ontwikkeling?,/you bezoek,/you?focus=ontwikkelkompas,pages/you.tsx insight/,development-goal velden,doel+load-historie,kompas,—,test:development-goal test:bandbreedte,direct,F-011 F-024,laag,volledig werkend,A
F-040,Activiteitenlijst + sessie-analyse,Ritten met NP/IF/TSS-analyse,renner,Wat betekende mijn training?,nav ACTIVITEITEN,/activiteiten,pages/activiteiten.tsx session-detail-drawer.tsx lib/session-analysis.ts,athlete sessions,sessies,analyse per rit,data aanwezig,test:session-analysis,direct,—,laag,volledig werkend,A
F-041,Bestand-import GPX/FIT/TCX,Upload → parse → Data Hub; koppelen,renner,Hoe krijg ik mijn rit erin?,upload,panel op /activiteiten,activity-import-panel.tsx,routes/activity-imports.ts lib/activity-file-ingest,bestand,verwerkte rit,F-043,activity-file-ingest (10) test:fit-parse,direct,F-042,laag,volledig werkend,A
F-042,Strava-koppeling,Per-gebruiker OAuth; activiteiten+profiel,renner,Kan Sparki mijn ritten zien?,koppelen,/you?focus=connections,connections-section.tsx,routes/connectors.ts lib/connectors/providers/strava*,Strava API,gesyncte ritten,secrets+consent,test:onboarding-strava-gapfill test:connector-cleanup,direct,F-041,middel (tokens),volledig werkend,A
F-043,Data Hub,Sync/dedupe/merge multi-platform; consent per type,systeem,—,sync,onzichtbaar,—,engines/data-hub/ routes/hub.ts,connector_activities,canonieke sessies,—,test:data-hub,n.v.t.,—,middel (datamerge),volledig werkend,C
F-044,Connector-herstel-nudge,Melding bij gebroken koppeling,renner,—,broken connection,ScreenShell,connector-recovery-nudge.tsx,hub-status,status,nudge,F-043,—,direct,—,laag,volledig werkend,C
F-045,Garmin-koppeling,Flag bestaat; geen provider-implementatie gevonden,renner,—,—,—,—,—,—,—,—,—,niet bereikbaar,F-042,laag,niet bereikbaar,E
F-046,Activity-imports-historie-endpoints,GET/DELETE zonder gevonden UI-aanroep,renner,—,—,—,—,routes/activity-imports.ts,activity_imports,—,—,ingest-tests,verborgen,F-041 hub/logs,laag,verborgen,D
F-050,Wedstrijden,Racelijst + formulier,renner,Welke wedstrijden rijd ik?,header RACES,/races,pages/races.tsx race/,routes/races.ts,races-tabel,racelijst,—,—,direct,—,laag,volledig werkend,B
F-051,Wedstrijdkalender-import,Fietssport/We-Tri vol; KNWU eerlijk-beperkt,renner,Kan ik races importeren?,Uit kalender,/races,import-from-calendar.tsx hooks/use-calendar.ts,routes/calendar.ts lib/calendar/,externe kalenders,voor-ingevuld formulier,SSRF-allowlist,—,direct,—,middel (scraping),volledig werkend,B
F-052,Race Intelligence,Prep/report/fuel/checklist deterministisch,renner,Hoe bereid ik me voor?,racedetail,race-drill-in,race-componenten,engines/race/,race+profiel,voorbereiding,race-data,onzeker,direct,F-055,laag,volledig werkend,B
F-053,Race-evaluatie-endpoint,GET /api/races/:id/evaluation zonder UI-hook,renner,—,—,—,—,routes/races.ts,race+sessies,evaluatie,—,—,verborgen,F-052,laag,verborgen,E
F-054,Wedstrijd-room,Racedag-mediamontage met leden,renner,—,racedag,/wedstrijd-room,pages/wedstrijd-room.tsx,routes/race-rooms.ts,race_rooms+media,montage,media-engine,test:race-room,direct (route),F-101 media,laag,volledig werkend,B
