sample_id,user_scope,data_type,source_value,derived_value,engine_or_function,effective_date,expected_result,actual_result,difference,isolation_result,evidence,status
S01,René,TSS+IF (eerder foutieve sessie),78 min · 248 W gem.,TSS 128 · IF 0.992,deriveTss + ftpAtDate (derived-load.ts),2022-07-08 → FTP 250 (eerste geldige rij; 331W-derived uitgesloten),TSS 128 · IF 0.992,TSS 128 · IF 0.992,0,alleen eigen clerk_id,prod-query sessie 389,PASS
S02,René,TSS+IF (eerder foutieve sessie),58 min · 290 W gem.,TSS 130 · IF 1.160,deriveTss + ftpAtDate,2022-07-31 → FTP 250,TSS 130 · IF 1.160,TSS 130 · IF 1.160,0,alleen eigen clerk_id,prod-query sessie 384,PASS
S03,René,TSS+IF (eerder foutieve sessie),166 min · 295 W gem.,TSS 385 · IF 1.180,deriveTss + ftpAtDate,2022-08-04 → FTP 250,TSS 385 · IF 1.180,TSS 385 · IF 1.180,0,alleen eigen clerk_id,prod-query sessie 381,PASS
S04,René,TSS+IF (oudere correcte sessie met NP),194 min · NP 268 W,TSS 372 · IF 1.072,deriveTss (NP heeft voorrang op gem. vermogen),2022-11-05 → FTP 250,TSS 372 · IF 1.072,TSS 372 · IF 1.072,0,alleen eigen clerk_id,prod-query sessie 363,PASS
S05,beide gebruikers,TSS bij ontbrekend vermogen/FTP-snapshot,42 sessies zonder enig vermogen; 0 power-sessies zonder geldige FTP-historie,TSS blijft NULL (nooit afgeleid zonder ingrediënten),deriveTss weigert bij ontbrekende invoer,n.v.t.,0 sessies met verzonnen TSS,42 zonder power → 0 met afgeleide TSS; 0 power-sessies zonder FTP-historie,0,per gebruiker gescheiden,prod-telquery,PASS
S06,andere gebruiker,TSS+IF (isolatie),56 min · NP 282 W,TSS 100 · IF 1.037,deriveTss + ftpAtDate (eigen tijdlijn: 272 W per 2026-06-26),2026-06-07 → FTP 272 (eerste geldige eigen rij; 410W-derived uitgesloten),TSS 100 · IF 1.037,TSS 100 · IF 1.037,0,eigen FTP-tijdlijn gebruikt — niet die van René,prod-query sessie 14,PASS
S07,alle 349 power-sessies (beide gebruikers),TSS+IF volledige hertelling,vermogen+duur per sessie,opgeslagen tss/intensity_factor,onafhankelijke SQL-herberekening met identieke regels (excl. [achterhaald]-derived FTP),volledige FTP-tijdlijn per gebruiker,0 afwijkingen,349 gecontroleerd · 0 TSS-afwijkingen · 0 IF-afwijkingen,0,per clerk_id gescheiden,SQL-hertelling in rapport,PASS
S08,René,actuele FTP (mag niet gewijzigd zijn),ftp_history nieuwste geldige rij: 258 W (strava 2026-06-26),athlete_profiles.ftp = 258,geen wijzigingspad geraakt,2026-07-29,258 W,258 W,0,eigen profiel,prod-query,PASS
S09,René,trainingszones,FTP 258,zone-middens = vast %×FTP (Z1 50% … Z6 135%; Coggan),ZONE_PCT in plan-generator.ts (deterministisch; volgt FTP-wijziging automatisch),actueel,deterministische percentages van actuele FTP,idem (code-inspectie; geen aparte opslag → kan niet uit de pas lopen),0,per gebruiker,code-inspectie,PASS
S10,René,CTL/ATL/TSB,TSS-serie laatste 91 dagen (4 dagen met TSS),CTL 5 · ATL 0 · TSB 5,computeLoadSeries (recovery-load.ts; EWMA 42d/7d) — onafhankelijk nagerekend in eigen script,2026-07-29,zelfde uitkomst als engine-model,CTL 5 · ATL 0 · TSB 5 (nagerekend met identiek model op prod-data),0,alleen eigen sessies in de serie,herberekening in rapport,PASS
S11,René,observaties actief/outdated,verwacht 38 actief / 82 outdated (WP-A02),38 new / 82 outdated,ai_observations statusveld,2026-07-29,38/82,38/82,0,andere gebruiker apart: 24/17 (eigen sweep),prod-telquery,PASS
S12,beide gebruikers,331W-verwijzingen + duplicaten actief,verwacht 0,0×"331" in actieve observaties (tekst/titel/samenvatting) · 0 actieve duplicaatgroepen,SQL-telling,2026-07-29,0 en 0,0 en 0,0,per clerk_id geteld,prod-telquery,PASS
S13,alle gebruikers,herkomst observaties,alle actieve observaties,62/62 met engine- of source_type-herkomst,ai_observations.engine/source_type,2026-07-29,0 zonder herkomst,0 zonder herkomst,0,n.v.t.,prod-telquery,PASS
S14,alle kerntabellen,eigenaarschap (isolatie-dwarsdoorsnede),training_sessions 391 · ai_observations 161 · ftp_history 7 · athlete_profiles 2 · planned_workouts 62,0 rijen zonder clerk_id in elk van de vijf tabellen,kolomcontrole,2026-07-29,0 eigenaarloze rijen,0 eigenaarloze rijen,0,volledig,prod-telquery,PASS
S15,René,herstelstatus/observatie-opschoning idempotentie,alle 99 outdated-rijen op beide accounts,updated_at allemaal 2026-07-29 (dagelijkse idempotente run) zonder telling-verschuiving (38/82 exact behouden),runScheduledObservationCleanup + test:observation-cleanup,2026-07-29,herhaalde runs veranderen niets aan actieve tellingen,tellingen exact stabiel na meerdere serverstarts/runs; suite groen,0,per gebruiker,prod-query + testrun,PASS
